epoch,accuracy,loss,val_accuracy,val_loss
0,0.2664155960083008,1.8177638053894043,0.2621900141239166,1.9042710065841675
1,0.4375,1.6360949277877808,0.26288658380508423,1.8972735404968262
2,0.3570805788040161,1.639007329940796,0.40456950664520264,1.6389964818954468
3,0.34375,1.575392484664917,0.40359431505203247,1.670469880104065
4,0.41430413722991943,1.5167508125305176,0.43981611728668213,1.5401890277862549
5,0.28125,1.6550384759902954,0.4414878785610199,1.5155497789382935
6,0.4443979561328888,1.4387476444244385,0.47227638959884644,1.3850208520889282
7,0.3125,1.5148499011993408,0.4674004018306732,1.3960412740707397
8,0.4706559181213379,1.3821600675582886,0.488158255815506,1.385751724243164
9,0.46875,1.2756061553955078,0.4901086688041687,1.3752567768096924
10,0.48523205518722534,1.3393867015838623,0.4577876925468445,1.5062623023986816
11,0.5,1.4063160419464111,0.45653384923934937,1.5099142789840698
12,0.49799489974975586,1.3125330209732056,0.5114237666130066,1.3109219074249268
13,0.6875,0.9770970940589905,0.5098913311958313,1.3148431777954102
14,0.5103044509887695,1.2845593690872192,0.5009751915931702,1.364441990852356
15,0.4375,1.475040078163147,0.5020897388458252,1.3567180633544922
16,0.5168253183364868,1.2664005756378174,0.5162997841835022,1.3198411464691162
17,0.5,1.292638897895813,0.5123990178108215,1.3301020860671997
18,0.5266938805580139,1.2401974201202393,0.5289774537086487,1.2531908750534058
19,0.5625,1.1791352033615112,0.5328782200813293,1.2482093572616577
20,0.5363531708717346,1.2287317514419556,0.5440233945846558,1.240702748298645
21,0.71875,1.1307451725006104,0.5455558896064758,1.2366633415222168
22,0.5400494933128357,1.212334394454956,0.531624436378479,1.2518932819366455
23,0.71875,0.9723647832870483,0.530927836894989,1.2470756769180298
24,0.5454894304275513,1.201373815536499,0.5668709874153137,1.1713802814483643
25,0.59375,1.0540318489074707,0.569517970085144,1.1713016033172607
26,0.5539979934692383,1.184639573097229,0.5500139594078064,1.1943976879119873
27,0.375,1.4330230951309204,0.5507104992866516,1.19124436378479
28,0.550754964351654,1.1784652471542358,0.5699359178543091,1.1660358905792236
29,0.625,0.9253051280975342,0.5707718133926392,1.167710304260254
30,0.5547651648521423,1.1714166402816772,0.5670102834701538,1.1634117364883423
31,0.625,1.0053571462631226,0.5677068829536438,1.1638612747192383
